| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| Phase               | Time in Phase | Time/Date                 | Description                                   |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| add_files           | 00h:00m:00s   | 22:52:11 Tue Jun 09 2020  | Add source files                              |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| synth_design        | 00h:00m:14s   | 22:52:11 Tue Jun 09 2020  | -flatten_hierarchy rebuilt                    |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| write_checkpiont    | 00h:00m:08s   | 22:52:25 Tue Jun 09 2020  | Write out synthesis DCP                       |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| report_utilization  | 00h:00m:00s   | 22:52:33 Tue Jun 09 2020  | Write out synthesis DCP                       |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
Total time:		00h:00m:23s


| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| Phase               | Time in Phase | Time/Date                 | Description                                   |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| add_files           | 00h:00m:00s   | 22:52:34 Tue Jun 09 2020  | Add source files                              |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| synth_design        | 00h:00m:07s   | 22:52:34 Tue Jun 09 2020  | -flatten_hierarchy rebuilt                    |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| write_checkpiont    | 00h:00m:00s   | 22:52:41 Tue Jun 09 2020  | Write out synthesis DCP                       |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
| report_utilization  | 00h:00m:00s   | 22:52:41 Tue Jun 09 2020  | Write out synthesis DCP                       |
| ------------------- | ------------- | ------------------------- | --------------------------------------------- |
Total time:		00h:00m:07s


